district_id,week_tir,place4,place2,district,name,region,business_type
289,1,289,1,sad-dastgah,ØµØ¯ Ø¯Ø³ØªÚ¯Ø§Ù‡,14,3
289,2,289,1,sad-dastgah,ØµØ¯ Ø¯Ø³ØªÚ¯Ø§Ù‡,14,3
983,0,983,1,sizdah-aban,Ø³ÛŒØ²Ø¯Ù‡ Ø¢Ø¨Ø§Ù†,20,3
983,1,983,1,sizdah-aban,Ø³ÛŒØ²Ø¯Ù‡ Ø¢Ø¨Ø§Ù†,20,3
983,2,983,1,sizdah-aban,Ø³ÛŒØ²Ø¯Ù‡ Ø¢Ø¨Ø§Ù†,20,3
913,0,913,1,saeed-abad,Ø³Ø¹ÛŒØ¯Ø¢Ø¨Ø§Ø¯,18,3
913,1,913,1,saeed-abad,Ø³Ø¹ÛŒØ¯Ø¢Ø¨Ø§Ø¯,18,3
913,2,913,1,saeed-abad,Ø³Ø¹ÛŒØ¯Ø¢Ø¨Ø§Ø¯,18,3
374,0,374,1,vardavard,ÙˆØ±Ø¯Ø¢ÙˆØ±Ø¯,21,3
374,1,374,1,vardavard,ÙˆØ±Ø¯Ø¢ÙˆØ±Ø¯,21,3
374,2,374,1,vardavard,ÙˆØ±Ø¯Ø¢ÙˆØ±Ø¯,21,3
1014,0,1014,1,imam-sajjad,Ø§Ù…Ø§Ù… Ø³Ø¬Ø§Ø¯(Ø¹),17,3
1014,1,1014,1,imam-sajjad,Ø§Ù…Ø§Ù… Ø³Ø¬Ø§Ø¯(Ø¹),17,3
1014,2,1014,1,imam-sajjad,Ø§Ù…Ø§Ù… Ø³Ø¬Ø§Ø¯(Ø¹),17,3
935,0,935,1,nosrat,Ù†ØµØ±Øª,6,3
935,1,935,1,nosrat,Ù†ØµØ±Øª,6,3
935,2,935,1,nosrat,Ù†ØµØ±Øª,6,3
216,0,216,1,hasan-abad-baqer-far,Ø­Ø³Ù†â€ŒØ¢Ø¨Ø§Ø¯ Ø¨Ø§Ù‚Ø±ÙØ±,20,3
216,1,216,1,hasan-abad-baqer-far,Ø­Ø³Ù†â€ŒØ¢Ø¨Ø§Ø¯ Ø¨Ø§Ù‚Ø±ÙØ±,20,3
216,2,216,1,hasan-abad-baqer-far,Ø­Ø³Ù†â€ŒØ¢Ø¨Ø§Ø¯ Ø¨Ø§Ù‚Ø±ÙØ±,20,3
286,0,286,1,eshrat-abad,Ø®ÙˆØ§Ø¬Ù‡ Ù†ØµÛŒØ± Ø·ÙˆØ³ÛŒ,7,3
286,1,286,1,eshrat-abad,Ø®ÙˆØ§Ø¬Ù‡ Ù†ØµÛŒØ± Ø·ÙˆØ³ÛŒ,7,3
286,2,286,1,eshrat-abad,Ø®ÙˆØ§Ø¬Ù‡ Ù†ØµÛŒØ± Ø·ÙˆØ³ÛŒ,7,3
999,0,999,1,salamat,Ø³Ù„Ø§Ù…Øª,11,3
999,1,999,1,salamat,Ø³Ù„Ø§Ù…Øª,11,3
999,2,999,1,salamat,Ø³Ù„Ø§Ù…Øª,11,3
173,0,173,1,aboozar,Ø§Ø¨Ø§Ø°Ø±,5,3
173,1,173,1,aboozar,Ø§Ø¨Ø§Ø°Ø±,5,3
173,2,173,1,aboozar,Ø§Ø¨Ø§Ø°Ø±,5,3
194,0,194,1,shahrak-e-vali-e-asr,Ø´Ù‡Ø±Ú© ÙˆÙ„ÛŒØ¹ØµØ±,18,3
194,1,194,1,shahrak-e-vali-e-asr,Ø´Ù‡Ø±Ú© ÙˆÙ„ÛŒØ¹ØµØ±,18,3
194,2,194,1,shahrak-e-vali-e-asr,Ø´Ù‡Ø±Ú© ÙˆÙ„ÛŒØ¹ØµØ±,18,3
59,0,59,1,farahzad,ÙØ±Ø­Ø²Ø§Ø¯,2,3
59,1,59,1,farahzad,ÙØ±Ø­Ø²Ø§Ø¯,2,3
59,2,59,1,farahzad,ÙØ±Ø­Ø²Ø§Ø¯,2,3
